route_id,agency_id,route_short_name,route_long_name,route_type
3,CUMTA,102,ADYAR B.T To SIRUSERI I.T PARK,3
7,CUMTA,102,BROADWAY To KELAMBAKKAM B.T,3
8,CUMTA,102,KELAMBAKKAM B.T To BROADWAY,3
9,CUMTA,102,BROADWAY To SIRUSERI I.T.PARK,3
10,CUMTA,102,SIRUSERI I.T.PARK To BROADWAY,3
13,CUMTA,102,M.G.R.CENTRAL To KELAMBAKKAM,3
17,CUMTA,102C,BROADWAY To SEMMANCHERI BUS STAND,3
18,CUMTA,102C,SEMMANCHERI BUS STAND To BROADWAY,3
21,CUMTA,102KCT,ADYAR B.T To EZHIL NAGAR,3
22,CUMTA,102KCT,EZHIL NAGAR To ADYAR B.T,3
23,CUMTA,102KCT,ADYAR B.T To KANNAGI NAGAR B.T,3
24,CUMTA,102KCT,KANNAGI NAGAR B.T To ADYAR B.T,3
27,CUMTA,102KX,BROADWAY To KANNAGI NAGAR EZHIL NAGAR,3
28,CUMTA,102KX,KANNAGI NAGAR EZHIL NAGAR To BROADWAY,3
29,CUMTA,102K,BROADWAY To KANNAGI NAGAR B.T,3
30,CUMTA,102K,KANNAGI NAGAR B.T To BROADWAY,3
36,CUMTA,102P,GREAMS ROAD To BROADWAY,3
37,CUMTA,102P,BROADWAY To Perumbakkam TNUHDB,3
38,CUMTA,102P,Perumbakkam TNUHDB To BROADWAY,3
39,CUMTA,102P,BROADWAY To SANTHOME SCHOOL,3
40,CUMTA,102P,SANTHOME SCHOOL To BROADWAY,3
42,CUMTA,102P,PERUMBAKKAM TNUHDB To GREAMS ROAD,3
43,CUMTA,102P,SANTHOME SCHOOL To PERUMBAKKAM TNUHDB,3
44,CUMTA,102P,PERUMBAKKAM TNUHDB To SANTHOME SCHOOL,3
45,CUMTA,102X,BROADWAY To THIRUPORUR BUS STAND,3
46,CUMTA,102X,THIRUPORUR BUS STAND To BROADWAY,3
49,CUMTA,102X,M.G.R.CENTRAL R.S To THIRUPORUR BUS STAND,3
50,CUMTA,102X,THIRUPORUR To M.G.R.CENTRAL,3
51,CUMTA,109,ADYAR B.T To KOVALAM,3
52,CUMTA,109,KOVALAM To ADYAR B.T,3
53,CUMTA,109,BESANT NAGAR To KOVALAM,3
54,CUMTA,109,KOVALAM To BESANT NAGAR,3
55,CUMTA,109,BROADWAY To ADYAR B.T,3
56,CUMTA,109,ADYAR B.T To BROADWAY,3
59,CUMTA,109,BROADWAY To KOVALAM B.T,3
60,CUMTA,109,KOVALAM B.T To BROADWAY,3
63,CUMTA,109A,BROADWAY To THIRUVIDHANTHAI,3
64,CUMTA,109A,THIRUVIDANTHAI To BROADWAY,3
69,CUMTA,109,THIRUVANMIYUR To KOVALAM,3
70,CUMTA,109,KOVALAM To THIRUVANMIYUR,3
73,CUMTA,109T,BROADWAY To KOVALAM,3
74,CUMTA,109T,KOVALAM To BROADWAY,3
75,CUMTA,109T,THIRUVOTTIYUR BUS STAND To KOVALAM B.T,3
76,CUMTA,109T,KOVALAM B.T To THIRUVOTTIYUR BUS STAND,3
79,CUMTA,109X,BROADWAY To THIRUPORUR BUS STAND,3
80,CUMTA,109X,THIRUPORUR To BROADWAY,3
83,CUMTA,15,BROADWAY To M.G.R.KOYAMBEDU B.T,3
84,CUMTA,15,M.G.R.KOYAMBEDU B.T To BROADWAY,3
87,CUMTA,15F,BROADWAY To VADAPALANI BUS STAND,3
88,CUMTA,15F,VADAPALANI BUS STAND To BROADWAY,3
91,CUMTA,17D,BROADWAY To K.K.NAGAR,3
92,CUMTA,17D,K.K.NAGAR To BROADWAY,3
95,CUMTA,17E,BROADWAY To SALIGRAMAM BUS STAND,3
96,CUMTA,17E,SALIGRAMAM BUS STAND To BROADWAY,3
97,CUMTA,17E,VADAPALANI BUS STAND To SALIGRAMAM BUS STAND,3
98,CUMTA,17E,SALIGRAMAM BUS STAND To VADAPALANI BUS STAND,3
101,CUMTA,21,BROADWAY To GUINDY TVK ESTATE,3
102,CUMTA,21,GUINDY TVK ESTATE To BROADWAY,3
103,CUMTA,21,BROADWAY To MANDAVELI B.T,3
104,CUMTA,21,MANDAVELI B.T To BROADWAY,3
