stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
4,4,ADYAR B.T,12.549663,80.143925,0
3,3,ADYAR DEPOT,12.549663,80.143925,0
174,174,S.R.P TOOLS,12.549663,80.143925,0
83,83,KANDANCHAVADI,12.549663,80.143925,0
194,194,THORAIPAKKAM TEA SHOP,12.549663,80.143925,0
116,116,MOOTAKARAN CHAVADI,12.549663,80.143925,0
85,85,KARAPAKKAM,12.549663,80.143925,0
168,168,SHOLINGANALLUR P.U.OFFICE,12.549663,80.143925,0
100,100,KUMARAN NAGAR,12.549663,80.143925,0
165,165,SEMMANCHERI ALAMARAM,12.549663,80.143925,0
128,128,NAVALUR,12.549663,80.143925,0
266,266,NAVALUR CHURCH,12.549663,80.143925,0
136,136,PALAVASTHIC CHEMICALS,12.549663,80.143925,0
63,63,HINDUSTAN COLLEGE,12.549663,80.143925,0
87,87,KELAMBAKKAM,12.549663,80.143925,0
171,171,SIPCOT,12.549663,80.143925,0
172,172,SIRUSERI I.T PARK,12.549663,80.143925,0
1896,1896,SIRUSERI SIPCOT,12.549663,80.143925,0
fa11bdb91361aafff55ff4db66c424d2,fa11bdb91361aafff55ff4db66c424d2,BROADWAY,13.08703,80.2844,0
cGoHBmgo,cGoHBmgo,HIGH COURT,13.08858,80.28712,0
fwfbiPwk,fwfbiPwk,PARRYS CORNER,13.08869,80.29045,0
mgTKojDA,mgTKojDA,R B I PARRYS,13.08238,80.28898,0
drmArhka,drmArhka,SECRETARIAT,13.08002,80.2882,0
XypZkLUe,XypZkLUe,WAR MEMORIAL,13.07422,80.28619,0
gaLZwYvS,gaLZwYvS,ANNA SQUARE B.T,13.06642,80.28431,0
qFzqwYZZ,qFzqwYZZ,CHEPPAKAM,13.0613,80.28285,0
MBTcSIip,MBTcSIip,KANNAGI STATUE OR PRESIDENCY COLLEGE,13.0568,80.28191,0
ppabfQGz,ppabfQGz,VIVEKANANDA HOUSE BUS TERMINUS,13.05038,80.28082,0
rloRqLNl,rloRqLNl,TRIPLICANE QUEEN MARYS COLLEGE,13.04584,80.28016,0
226fa83f86509c4095f3e613d4ccaf6d,226fa83f86509c4095f3e613d4ccaf6d,ALL INDIA RADIO LIGHT HOUSE,13.03904,80.28025,0
SyufMOPd,SyufMOPd,FORESHORE ESTATE BUS TERMINUS,13.02267,80.27649,0
LfENZYTF,LfENZYTF,RAJA ANNAMALAI PURAM MRC NAGAR,13.02108,80.27014,0
TNZDhyQb,TNZDhyQb,ANNAMALAIPURAM MUSIC COLLEGE,13.01895,80.26311,0
ce3115c68314873cf18631cbedbc1fe3,ce3115c68314873cf18631cbedbc1fe3,SATHYA STUDIO,13.01611,80.25968,0
DYvQviUy,DYvQviUy,ADYAR SIGNAL,13.00721,80.25882,0
9ced87eb513fd55497cdf58b974e8309,9ced87eb513fd55497cdf58b974e8309,ADYAR TELEPHONE EXCHANGE,13.00136,80.25664,0
oBtsEQRM,oBtsEQRM,ADYAR DEPOT,12.99683,80.25693,0
jQaLNViL,jQaLNViL,THIRUVANMIYUR JAYANTHI THEATRE,12.98891,80.25604,0
ac8933babf11be7381b34ac152ee95ba,ac8933babf11be7381b34ac152ee95ba,L.B ROAD,12.98625,80.25556,0
WynPMslR,WynPMslR,PERUNGUDI S.R.P TOOLS,12.97857,80.25265,0
vHkAlmCm,vHkAlmCm,PERUNGUDI  I G P,12.97274,80.2503,0
GnOurcjN,GnOurcjN,KANDANCHAVADI,12.96532,80.24753,0
yfIoPTHo,yfIoPTHo,PERUNGUDI,12.95948,80.24484,0
EXTmTMKf,EXTmTMKf,SEEVARAM,12.95165,80.24177,0
zjGRmLyo,zjGRmLyo,D B JAIN COLLEGE,12.94691,80.24002,0
JGydtICe,JGydtICe,METTUKUPPAM,12.93923,80.2356,0
RtTLxXUv,RtTLxXUv,PTC QUARTERS,12.93419,80.23325,0
FtWuEuzF,FtWuEuzF,OKKIYAMPET,12.92583,80.2311,0
ACkvbmee,ACkvbmee,KARAPAKKAM KCG COLLEGE,12.91963,80.23027,0
wqGWmwVd,wqGWmwVd,KARAPAKKAM,12.91327,80.22938,0
HxnLIWQq,HxnLIWQq,SHOLINGANALLUR ACCENTURE,12.90631,80.22833,0
ZqBGCTqq,ZqBGCTqq,P U OFFICE SHOLINGANALLUR,12.9031,80.22816,0
elxmPCDf,elxmPCDf,GOVERNMENT SCHOOL SHOLINGANALLUR,12.89353,80.22767,0
